13233,Paliano,FR
13232,Morolo,FR
13197,Arpino,FR
13251,San Giovanni Incarico,FR
13195,Arce,FR
13252,Sant'Ambrogio sul Garigliano,FR
13219,Falvaterra,FR
13246,Rocca d'Arce,FR
13261,Sora,FR
13194,Aquino,FR
13264,Terelle,FR
13199,Ausonia,FR
13276,Villa Santa Lucia,FR
13238,Pico,FR
13218,Esperia,FR
13205,Casalvieri,FR
13207,Castelliri,FR
13236,Pescosolido,FR
13262,Strangolagalli,FR
13201,Boville Ernica,FR
13243,Pontecorvo,FR
13227,Gallinaro,FR
13248,San Biagio Saracinisco,FR
13278,Viticuso,FR
13249,San Donato Val di Comino,FR
13212,Ceprano,FR
13245,Ripi,FR
13214,Colfelice,FR
13203,Campoli Appennino,FR
13267,Trevi nel Lazio,FR
13223,Fontana Liri,FR
13275,Villa Latina,FR
13208,Castelnuovo Parano,FR
13230,Isola del Liri,FR
13224,Fontechiari,FR
13271,Vallerotonda,FR
13198,Atina,FR
13211,Ceccano,FR
13268,Trivigliano,FR
13244,Posta Fibreno,FR
13216,Colle San Magno,FR
13213,Cervaro,FR
13254,Sant'Apollinare,FR
13237,Picinisco,FR
13226,Fumone,FR
13231,Monte San Giovanni Campano,FR
13200,Belmonte Castello,FR
13255,Sant'Elia Fiumerapido,FR
13209,Castrocielo,FR
13192,Amaseno,FR
