1969-04-06 00:08:29.137934
1935-01-11 21:23:15.78048
1981-10-17 15:39:16.453523
1955-01-27 05:34:28.256387
1922-06-27 01:20:33.973861
1935-12-23 01:19:10.848824
1949-10-04 08:02:38.600843
1921-03-05 12:26:42.84888
1956-01-17 18:22:00.466223
1967-02-11 01:18:05.261451
2006-06-03 13:05:25.459215
1923-01-06 13:05:24.310358
1981-07-09 20:09:51.271278
1978-05-16 00:24:11.30792
1920-01-04 00:33:35.60154
1979-06-09 15:52:53.184961
1974-04-13 09:17:12.86718
1920-01-28 12:23:20.026444
1966-08-04 03:52:08.953135
2001-01-12 11:51:36.207963
1985-07-08 05:05:39.788434
1987-10-27 03:17:12.527894
1920-04-20 02:38:28.341064
1927-07-01 16:02:27.251733
1923-08-09 06:58:21.683441
2002-05-04 05:37:25.40779
1974-06-06 05:27:08.766918
1920-04-20 07:31:21.512734
1936-06-23 05:37:59.636934
1998-03-17 04:00:38.182439
1945-08-07 01:46:08.722285
1985-09-27 05:46:28.774869
1923-03-28 01:23:52.640335
2007-05-24 17:25:23.853225
1930-10-23 11:20:55.708672
1925-09-21 02:44:26.614196
1933-05-14 18:44:34.702048
1960-07-26 19:23:34.309515
1926-11-24 15:11:08.140492
1969-05-31 13:06:33.845688
2007-09-06 20:41:39.570966
1923-04-27 04:16:33.599707
1972-06-06 02:11:58.156046
1979-03-15 16:51:30.842244
1981-09-09 04:40:44.907627
1972-06-09 02:45:33.757585
1948-08-21 08:44:24.027205
1945-12-20 13:57:57.774806
1972-07-06 15:08:53.784029
1995-03-25 12:36:32.98034
1937-01-01 01:49:33.982769
1948-01-11 20:14:33.572463
1973-01-17 15:53:45.508234
1937-04-21 04:28:01.001249
1955-07-12 12:17:00.824195
1976-08-25 22:52:07.191675
1929-08-22 10:05:26.409039
2009-12-15 17:44:08.26853
1976-12-14 06:23:28.704409
1946-02-12 15:43:24.723389
1998-02-28 21:44:46.450969
2002-07-21 08:09:36.10411
1921-11-08 21:29:53.498258
2001-05-25 23:08:39.091304
1999-12-12 01:34:59.957335
1932-08-31 08:50:49.20693
2007-02-14 01:53:04.382915
1923-04-24 20:19:34.659383
1973-03-27 04:14:23.516445
1924-01-07 17:04:12.523407
1972-09-22 09:26:08.505071
1970-12-01 00:56:01.764827
1927-05-03 21:20:46.123114
1935-02-26 11:38:05.338533
1940-02-12 17:47:32.607071
1989-01-10 02:01:31.030741
1987-08-05 14:23:39.096118
1968-10-03 02:31:55.311693
1924-12-29 15:59:27.482963
1950-02-08 05:32:31.557563
1953-12-25 15:08:28.292033
1941-12-30 17:49:01.465732
1978-02-19 01:47:05.130026
2007-01-12 07:02:12.477683
1959-04-20 22:17:02.466981
1923-08-30 14:04:04.631638
1973-09-06 05:54:19.669358
1968-12-10 08:22:27.553436
1923-08-14 07:48:12.900167
1940-08-19 12:17:47.051183
1995-01-23 00:05:52.276826
2001-10-12 05:32:59.351136
1933-03-08 20:27:23.155293
1996-11-30 21:35:45.775084
1993-03-06 04:41:37.119856
1923-02-16 22:02:23.112628
2009-08-01 06:26:33.659431
1990-04-19 06:34:41.502771
1926-06-10 18:21:57.772011
1972-10-25 10:40:57.175876
1994-04-25 23:38:54.026179
1979-03-03 03:48:04.954499
1933-09-24 11:36:58.940704
2001-08-26 20:59:40.149293
1994-04-28 15:26:10.293032
1953-11-06 05:24:30.225191
1980-09-04 23:01:11.180034
1971-12-01 05:49:49.38915
2002-08-09 07:56:25.536884
1985-09-03 15:00:38.662997
2002-01-08 11:22:20.946713
1946-08-02 23:04:53.828917
2007-09-03 08:49:38.806145
1970-02-26 13:09:24.754155
1943-08-14 06:07:06.306599
1956-12-21 07:06:41.273127
1973-10-26 03:13:29.385793
1997-04-19 12:01:24.653373
2005-11-30 15:29:08.826563
1977-06-08 11:01:42.28596
1927-12-07 00:19:11.704556
1990-12-22 15:35:01.103389
1969-03-19 16:34:41.637096
1941-02-11 20:46:34.859849
1977-11-21 13:10:45.55589
1952-05-22 21:16:18.756952
1944-03-30 18:48:57.972477
1977-06-21 19:37:19.21532
1932-09-08 03:51:00.259724
1950-09-08 13:10:55.744489
1940-04-15 06:18:16.391197
2007-01-02 03:29:54.285902
2009-11-08 16:59:00.698987
1954-01-07 17:55:14.009316
1998-08-28 00:29:34.435195
1994-03-06 08:25:10.992019
1987-11-13 23:19:44.234507
1969-05-01 23:30:44.292645
1956-02-03 14:14:59.058585
1980-06-21 07:16:09.771391
1945-01-02 14:31:22.955642
1948-02-11 01:37:20.005298
2007-01-22 06:21:03.600308
1942-09-04 23:21:01.761788
1998-04-08 14:46:44.759453
1940-09-03 12:28:08.584323
1979-08-26 06:27:41.712331
1962-01-31 18:00:14.145246
1927-12-22 00:29:33.237696
1975-07-25 21:56:50.538894
1929-07-09 05:01:56.431206
1935-11-27 00:48:44.942252
1956-07-15 13:31:50.319699
1978-09-25 21:36:36.745719
1957-01-07 21:35:19.802101
1924-06-05 02:42:35.875589
1921-02-14 18:52:55.502671
1981-04-07 16:24:17.774578
1981-11-24 22:19:55.090909
1933-10-23 22:43:54.439811
1921-12-14 05:35:13.519067
2002-03-10 04:38:11.482106
1930-10-25 02:13:48.725713
1921-10-21 22:34:12.89547
1946-03-16 22:33:25.491422
2009-06-21 02:43:21.838325
1995-12-26 06:59:23.887489
1924-01-27 21:53:09.725929
1968-10-20 02:14:06.13097
1942-01-27 21:14:22.946074
1984-07-18 05:09:19.497321
1993-10-22 16:45:29.086612
1970-03-09 22:51:41.628788
1981-08-08 11:30:21.775045
1926-06-26 16:06:29.525816
1958-06-15 13:38:26.388241
2002-04-11 23:58:30.359368
1986-02-18 22:34:11.238146
2000-07-16 07:38:39.210903
1920-04-01 00:28:03.597064
1951-09-12 20:31:01.77704
1920-01-22 12:40:35.64211
1936-02-26 01:16:48.539316
1988-03-27 10:02:52.09674
1978-10-17 10:17:12.387829
1973-03-04 22:52:08.341417
1992-08-30 12:45:27.972329
1979-12-02 05:10:06.567916
1944-06-09 15:16:26.115995
1964-07-24 11:05:23.063238
1993-09-24 03:54:01.007727
1946-05-23 20:51:39.635062
1956-09-30 15:43:33.22276
2004-07-18 06:07:49.733441
1948-03-13 19:25:52.530532
1982-12-15 14:16:58.714182
2004-01-06 08:51:11.571766
1934-03-08 02:25:15.095437
1987-01-11 12:10:07.117528
1962-10-25 11:05:17.702736
1956-04-03 23:39:38.04151
1961-07-28 17:19:26.614848
1946-08-16 03:50:45.466764
2006-06-11 22:31:19.670298
1933-03-05 04:49:48.389893
1953-02-08 19:57:14.99258
1954-11-24 12:09:44.735955
1925-06-14 04:48:18.749261
1929-03-29 18:31:26.230727
1945-06-08 19:48:23.946859
1925-09-13 05:16:22.346325
1960-12-09 15:02:28.007767
1945-06-30 08:28:59.588968
1941-11-08 06:33:10.885641
1939-03-06 01:05:18.781923
2004-04-15 18:46:10.654213
1995-01-11 05:25:19.227058
1921-11-02 13:50:46.754251
1974-03-16 23:56:17.22213
1929-06-19 20:41:45.343053
1966-05-27 00:56:08.494906
1957-12-08 03:50:18.229857
1955-11-10 17:33:23.655531
2003-02-24 16:39:41.717665
1952-06-24 09:58:07.963298
1984-01-22 12:59:16.186062
1976-02-08 06:56:40.431848
1946-06-29 18:49:18.21248
1998-03-29 15:24:31.281499
1953-02-17 19:06:47.549375
1989-04-23 05:54:35.915216
1944-06-30 15:04:08.000425
1994-09-15 12:26:12.84164
1925-12-06 09:45:21.38198
1940-12-09 13:35:27.670723
2007-11-18 17:16:01.231533
1959-01-15 05:42:36.37456
1975-11-03 01:45:12.406678
1923-05-01 22:04:18.658209
1968-04-13 00:14:02.605287
2001-04-10 21:33:36.353537
1929-01-12 03:20:41.004534
2009-03-22 15:16:29.29047
1936-10-08 06:02:34.619922
1950-11-20 09:53:50.567591
1938-05-25 16:21:48.072393
1931-01-22 00:48:45.274135
1935-11-30 15:19:09.794649
1940-03-27 06:12:34.826644
1985-04-07 00:45:02.496265
1945-05-19 12:00:53.815117
1986-08-21 07:08:43.32155
1933-03-14 04:35:20.726122
1981-03-29 05:34:17.470648
1979-10-14 23:48:25.039215
1965-09-05 14:33:28.68942
1955-04-19 18:33:33.65671
1945-11-21 06:45:04.148479
1992-03-04 09:22:46.9019
1943-07-16 09:58:03.615625
1979-01-09 01:51:51.697854
1971-06-25 15:17:21.494532
1968-01-14 01:02:11.61605
1963-09-23 14:18:04.539494
1977-05-31 01:02:42.876512
1988-12-22 14:37:39.286773
1961-08-10 07:34:04.448443
1926-06-14 06:45:17.928489
1954-10-24 16:22:50.370868
1964-12-09 05:38:23.106652
1974-09-25 06:59:20.533775
1946-02-01 13:56:26.724405
1973-12-21 08:59:04.111186
1973-12-14 22:15:49.824245
1962-11-09 19:59:01.344327
2004-11-09 18:52:54.678777
1992-05-08 14:37:37.896638
1973-11-30 20:47:46.618462
1930-10-09 10:12:03.150842
1922-08-02 20:50:11.400698
1949-03-06 21:32:49.114727
1956-02-25 22:12:56.965959
1989-03-23 03:58:54.722248
1962-05-19 02:08:09.840849
1927-05-24 03:47:14.436607
1959-01-04 03:47:18.438879
2008-01-22 16:41:37.207685
1962-09-09 22:20:48.093317
1984-11-24 10:32:22.587358
1990-03-26 02:04:24.109585
1986-03-25 08:18:51.708942
1953-12-02 12:24:14.285212
1951-09-17 17:21:45.604117
1944-04-06 09:21:03.324992
1997-08-25 02:42:17.502122
2009-02-14 18:24:27.158045
1923-03-28 23:58:41.289182
1949-04-03 10:16:21.950565
1925-07-29 01:09:45.086533
1958-01-19 16:21:31.66005
1994-03-12 15:54:45.057217
1980-04-22 08:09:05.620309
1984-02-21 06:17:58.384455
1958-03-02 00:53:49.168403
1944-04-05 06:24:54.12197
1936-12-30 02:16:58.406197
1953-01-08 19:46:42.524596
1926-08-11 21:02:32.018608
1990-11-29 23:04:45.024659
1963-10-18 05:58:45.675438
1929-03-13 17:52:43.419306
1930-02-02 20:37:32.816802
1999-12-13 04:11:42.641398
1998-06-03 21:51:36.81897
1972-06-20 22:45:42.657651
2007-05-05 07:58:57.078005
1947-06-07 01:38:55.257849
1970-07-12 15:27:19.865336
1960-01-12 06:19:45.171323
1922-04-30 12:11:17.845207
1950-10-04 17:31:42.652337
1936-04-04 14:38:35.557681
1956-04-01 00:35:32.130419
1982-06-21 10:53:28.256453
1960-07-09 23:59:38.882673
1943-11-24 03:17:49.632541
1981-08-05 05:17:55.414498
1963-10-05 23:58:20.171855
1973-02-24 13:34:11.583105
1987-03-03 06:27:40.501032
2001-10-24 16:19:51.831905
1957-05-06 05:28:56.640322
1957-06-22 14:36:44.798757
1975-12-14 22:37:48.893775
1995-07-06 06:22:44.486142
1981-09-25 21:01:38.920727
1992-12-13 00:54:47.299973
1938-07-14 02:09:27.010738
1988-05-06 18:04:10.939335
1973-11-10 23:59:32.324632
1982-04-30 08:08:12.686176
1997-07-18 11:56:53.036057
1983-12-14 20:37:05.141434
1972-04-10 12:19:55.327574
1985-12-19 09:48:29.855027
1946-06-03 19:22:46.476502
1969-08-12 20:18:52.405579
1923-05-25 11:27:25.112877
1996-12-13 10:50:06.341837
2009-08-24 02:38:37.576902
1925-09-21 23:38:42.958083
1937-09-16 04:21:48.994174
1935-11-26 17:17:13.134583
1961-12-22 00:14:15.088502
2000-03-06 15:15:15.928043
1976-06-04 17:16:50.694672
1985-11-14 03:32:03.398459
1971-10-09 20:33:11.342542
1930-03-09 17:15:10.866527
1949-01-07 17:06:14.981564
